School,Field of Study,Course Prefix,Course Number,Class Number,Course Title,Credit Hours,Prerequisites,Corequisites,Pre- or Corequisites,Recommended Prerequisites,Semester Offered,Other Requirements / Notes,Full Course Description,Source
Academic Support Programs,Academic Planning and Support,APSC,1110,APSC 1110,Effective College Learning,1 hour,,,,,Fall.; Spring.,"When indicated by conditional-admission status or academic standing, certain students will be required to complete this course successfully in a given semester.","This course is designed to enhance students’ success in college studies through the development of effective academic and self-management skills. Topics include note taking, time management, reading and test-taking skills, concentration, memory techniques, handling stress, motivation, and exploring and clarifying academic and life goals. Course activities may include readings, self-assessments, quizzes and exercises to practice skills and techniques, consultations with an instructor to review work plans and progress, and a final exam. When indicated by conditional-admission status or academic standing, certain students will be required to complete this course successfully in a given semester. Fall. Spring.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,2301,ACCT 2301,Financial Accounting,3 hours,,,,,,"Develop an understanding of accounting concepts and procedures as they apply to the business cycles of revenue, expenditure, and conversion.","The course explores the nature and use of accounting information, business transactions and the content of financial statements in the context of reporting to external corporate stakeholders. Students will prepare financial statements in accordance with Generally Accepted Accounting Principles. In doing so you should be able to accomplish the following: 1. Develop an understanding of accounting concepts and procedures as they apply to the business cycles of revenue, expenditure, and conversion. 2. Use accounting information for short-term planning and decision- making. 3. Apply internal control principles and procedures as they apply to cash.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,2303,ACCT 2303,Managerial Accounting,3 hours,ACCT 2301 with a C or higher.,,,,,Areas of emphasis include the usefulness and understanding of accounting information for managerial decision-making.,"This course introduces the preparation, compilation, interpretation, and utilization of basic managerial accounting principles and concepts. Areas of emphasis include the usefulness and understanding of accounting information for managerial decision-making. Some of the major topics include the fundamentals of job order costing, process costing, activity- based costing, cost-volume-profit analysis, make-or-buy and special- order decisions, capital budgeting, and ratio analysis. Prerequisite: ACCT 2301 with a C or higher.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3320,ACCT 3320,Accounting Ethics,3 hours,PHIL 3313 or equivalent.,ACCT 4650.,,,Spring.,Successful completion of this course satisfies the Ethics academic course requirement for candidates sitting for the CPA exam in the State of Texas.,"This course encompasses the study of ethical philosophies and ethical reasoning with an emphasis on ethical dilemmas faced by members of the accounting profession. Topics include: ethical reasoning, integrity, objectivity, independence and other core values of the accounting profession, as well as professional codes of conduct (from TSBPA, AICPA, SEC, and others). These areas will be researched, analyzed, and applied through the use of various publications, electronic media and case studies. Successful completion of this course satisfies the Ethics academic course requirement for candidates sitting for the CPA exam in the State of Texas. Prerequisite: PHIL 3313 or equivalent. Corequisite: ACCT 4650. Spring.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3331,ACCT 3331,Intermediate Accounting I,3 hours,"Junior standing, ACCT 2301, and ACCT 2303, both with a C or higher.",,,,,"Prerequisites: Junior standing, ACCT 2301, and ACCT 2303, both with a C or higher.","This course covers recording business transactions in accordance with U.S. Generally Accepted Accounting Principles. The course also provides exposure to International Financial Reporting Standards and the use of FASB’s Accounting Standards Codification website. Topics include: accounting for cash, receivables, inventories, investments, intangible assets, current liabilities and contingencies, revenue recognition, and plant, property and equipment. Prerequisites: Junior standing, ACCT 2301, and ACCT 2303, both with a C or higher.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3332,ACCT 3332,Intermediate Accounting II,3 hours,Junior standing and ACCT 3331.,,,,,Prerequisites: Junior standing and ACCT 3331.,"This course is a continuation of ACCT 3331. It continues the coverage of recording business transactions in accordance with U.S. Generally Accepted Accounting Principles. The course also provides exposure to International Financial Reporting Standards and the use of FASB’s Accounting Standards Codification website. Topics include: accounting for taxes, pensions, bonds and corporate capital. Prerequisites: Junior standing and ACCT 3331.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3333,ACCT 3333,Cost Accounting,3 hours,ACCT 2301 and ACCT 2303 both with a C or higher.,,,,,,"Accumulating, analyzing and reporting information relevant for managerial decision-making. Topics include standard and direct costing using job order and process cost methodologies; variance analysis; accounting for material, labor and overhead; budgeting and capital budgeting; relevant costs; lean accounting; and computer spreadsheet applications. Prerequisites: ACCT 2301 and ACCT 2303 both with a C or higher.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3334,ACCT 3334,Federal Taxation,3 hours,"ACCT 2301, ACCT 2303, and ACCT 3331.",,,,,,"Introduction to the federal income tax system, determination of income and deductions, and taxation of property transactions, with emphasis on individual taxpayers. Basic research techniques and tax return preparation. Prerequisites: ACCT 2301, ACCT 2303, and ACCT 3331.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3337,ACCT 3337,Database Theory and Applications,3 hours,COSC 2425 with a C or better.,,,,,Cross-listing: COSC 3337.,"Topics include introduction to database concepts, data models, data normalization, data description languages, query facilities, file organization, index organization, file security, and data integrity and reliability. Cross-listing: COSC 3337. Prerequisite: COSC 2425 with a C or better.","2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
The Bill Munday School of Business,Accounting,ACCT,3399,ACCT 3399,Special Topics in Accounting,3 hours,Vary by topic.,,,,,May be repeated for credit when topics vary.,Topical issues in accounting. May be repeated for credit when topics vary. Prerequisites: Vary by topic.,"2025-2026 Undergraduate Bulletin, Course Descriptions section (pp. 231-303)"
